Code depot;Article;Designation;Rangement;Stock reel;Stock mini;Mini à commander;Maxi à commander;Cde cli en cours;Cde four en cours;Prix unitaire de vente;Prix unitaire d'achat;Numeros de serie;Famille article;Autre designation;Fournisseurs;Code fournisseur;Référence fournisseur;Code famille fournisseur
000;A13725;CABLE ARAIGNEE MONITEUR 2 CAM.   BRIGADE - BE856GMCA  ;;0;0;0;0;0;0;149;61,53;;CABLE;;;;;
000;A13726;TRANSISTOR STP100NF04 TO220;;0;0;0;0;0;0;0;2,31;;ACTIF;;;;;
000;A13727;CI 74137  74HC137 DIP 16;11T14;24;4;10;20;0;0;0;0,38;;ACTIF;;;;;
000;A13728;CONN FEM 7PTS AMPHENOL - MS3106A16S-1S;;0;0;0;0;0;0;48,2;18,22;;CONNECTEUR;CAPOT A17398 CP A8765  ;A13728*F40*;F40;1704283;BCA
000;A13729;SERRE CABLE AMPHENOL 97B-108921;;0;0;0;0;0;0;0;22,38;;CONNECTEUR;;A13729*F80*;F80;4422763;BCA
000;A1373;PILE BOUTON 3V DURACELL CR2450 (DL2450);1A07;2;2;5;10;0;0;0;4,04;;ENERGIE;;A1373*F80*;F80;4574634;BCA
000;A13730;CONN MALE 10PTS AMPHENOL - MS3106A-18-1P;9K05;8;0;0;0;0;0;0;13,28;;CONNECTEUR;;A13730*F80*;F80;475858;BCA
000;A13731;CAPOT SERRE CABLE TAILLE 18 SERIE 97 AMPHENOL - 97-3057-1010-1;;0;0;0;0;0;0;0;5,44;;CONNECTEUR;;A13731*F80*;F80;475959;BCA
000;A13732;RELAIS 5VDC REED 1RT 0,25 A D31C2100;19B02;3;0;1;2;0;0;18,08;8,72;;RELAIS;;A13732*F80*;F80;1782804;BCA
000;A13733;RESEAU DE 4 RESISTANCES   0 OHM BOITIER 1206;ATELIER;50;0;0;50;0;0;0;0,02;;PASSIF;;;;;
000;A13734;TRANSISTOR MOSFET DOUBLE CANAL N IRF7341PBF ;12Q04;5;0;0;1;0;0;0;0,51;;ACTIF;;A13734*F40*;F40;2839483;BCA
000;A13735;CABLE 2x10mm²  XTREM  H07RN-F;24C04;24;0;0;0;0;0;10,85;5,04;;CABLE;;A13735*F38*;F38;3002010;BCA
000;A13736;AFF GDM1602E-FL-YTW;3D01;70;2;10;20;0;0;0;7,9;;OPTO-ELECT;;A13736*F332*;F332;GDM1602E-FL-YTW;BCA
000;A13737;CONN MALE 10PTS FASTON.250 TE CONN - 172137-1;MEZZANINE;0;0;0;0;0;0;10,43;1,39;;CONNECTEUR;CONTACT A13739   CP A13738;A13737*F80*;F80;7196789;BCA
000;A13738;CONN FEM  10PTS FASTON.250 TE CONN - 172138-1;MEZZANINE;0;0;0;0;0;0;10,43;1,08;;CONNECTEUR;CONTACT A13740   CP A13737;A13738*E46*;E46;571-172138-1;BCA
000;A13739;CONTACT MALE FASTON.250 170349-1;MEZZANINE;0;0;0;0;0;0;2,75;0,29;;CONNECTEUR;;A13739*E46*;E46;571-170349-1;BCA
000;A1374;PILE LITHIUM 3V / CI VARTA CRAA;1A07;7;3;5;10;0;0;22,599996;10,22;;ENERGIE;;A1374*F80*;F80;2033901;BCA
000;A13740;CONTACT FEM FASTON.250 7.5mm A SERTIR TE CONN 170384-1;MEZZANINE;0;0;10;20;0;0;2,75;0,18;;CONNECTEUR;;A13740*E46*;E46;571-170384-1;BCA
000;A13741;COMMUT D'ALIM VNB35NV04-E  D2PAK-2 ;12o06;2;2;5;10;0;0;0;3,6;;ACTIF;;A13741*E45*;E45;497-11686-1-ND;BCA
000;A13742;CI H605225;12N21;3;0;0;0;0;0;0;18,33;;ACTIF;;A13742*F104*;F104;;BCA
000;A13743;FACADE OVERLAY GASPARDO Z780-636;CLASSEUR FACADE 2;1;0;0;1;0;0;0;36,6;;CLAVIER;;A13743*E25*;E25;Z780-636;CNI
000;A13744;GPS SPEED SENSOR ASSY + ANTENNA  TEEJET;;0;0;0;0;0;0;0;368,1516;;MODULE;;;;;
000;A13745;CABLE 2x0.75mm² NUMEROTE OLFLEX440P ;AT.C3;230;0;0;0;0;0;5,09;2,03;;CABLE;"ACHETER PAR 100m; DELAI 2 SEMAINES";A13745*F38*;F38;LAP0012813;BCA
000;A13746;CI 24LC08B/P 400KHZ DIP-8;12K06;12;0;0;0;0;0;0;0,38;;ACTIF;;;;;
000;A13747;CI MPC5121YVY400B E300 BGA FREESCALE ;ETUVE;5;1;2;3;0;0;0;70,9;;ACTIF;BARRE DE GUIDAGE TRIMBLE;A13747*E45*;E45;MPC5121YVY400B-ND;BCA
000;A13748;EMBASE MALE 17PTS CI  DROIT TE CONN - 171363-1  ;9N15;1;0;0;0;0;0;10,17;2,29;;CONNECTEUR;;A13748*F80*;F80;7121343;BCA
000;A1375;PILE LITHIUM BOUTON 3V VARTA CR1620RSB;1A07;7;2;10;10;0;0;5,49;2,02;;ENERGIE;;A1375*F80*;F80;597223;BCA
000;A13759;TRANSISTOR ISL9V2540S3ST BOITIER TO-263AB;12o06;2;1;5;5;0;0;0;2,58;;ACTIF;;A13759*E46*;E46;512-ISL9V2540S3ST;BCA
000;A1376;PILE LITHIUM 2V4 VARTA 2/V80H;1A07;8;4;5;10;0;0;18,42;8,72;;ENERGIE;;A1376*F40*;F40;854657;BCA
000;A13760;Gaine annelée plastique Ø intérieur 35.5mm;;0;0;0;0;0;0;0;4,28;;CABLE;VENDU AU METRE;A13760*F30*;F30;605412;BCA
000;A13761;CI DCP020515DU CONVERTISSEUR DC/DC 2W 5V/+-15V CMS SOP12;12Q06;1;0;2;3;0;0;0;11;;ACTIF;;A13761*F40*;F40;3123107;BCA
000;A13762;AFF DEM128064ASBHPW ;MEZZANINE;0;0;0;0;0;0;0;31,92;;OPTO-ELECT;;A13762*E135*;E135;DEM128064ASBHPW;BCA
000;A13764;AFF DEM128064ASYH-LY;2B03;7;0;0;0;0;0;0;21,57;;OPTO-ELECT;POUR POTTINGER;A13764*E135*;E135;DEM128064ASYH-LY;BCA
000;A13765;FUSIBLE RAPIDE 6X32 6.3A 60V ;13F02;76;0;0;0;0;0;0;0,63;;FUSIBLE;;A13765*F7*;F7;SF632R6;BCA
000;A13766;DEL CMS ROUGE 2V 30mA Vishay VLMS33S1U1-GS08;;0;0;0;0;0;0;0;0,3;;OPTO-ELECT;;A13766*E46*;E46;78-VLMS33S1U1;BCA
000;A13767;EMBASE FEM 4PTS FFC/FPC Pas 1mm - SFW4R-2STE9LF;15D03;13;5;10;20;0;0;0;0,45;;CONNECTEUR;;A13767*E46*;E46;649-SFW4R-2STE9LF;BCA
000;A13768;TRANSISTOR NTD20N06LT4G 20A 60V D-PAK ;12J31;8;0;0;0;0;0;0;0,6;;ACTIF;;;;;
000;A13769;CI ST3222EBPR 3,3V 5V SSOP20;12N21;2;0;0;0;0;0;0;0,79;;ACTIF;;A13769*F80*;F80;6864948;BCA
000;A1377;PILE LITHIUM BOUTON 3V VARTA CR2016;1A07;4;1;2;5;0;0;6,44;1,83;;ENERGIE;CONDITIONNE PAR 2 CHEZ AC;A1377*F80*;F80;4574735;BCA
000;A13770;CI ST72C254G2M6;12N21;1;0;0;0;0;0;0;1,72;;ACTIF;;A13770*E135*;E135;ST72C254G2M6;BCA
000;A13771;Brosse de nettoyage fer WELLER - T0052540999;1A12;4;1;3;5;0;0;0;6,22;;OUTILLAGE;;A13771*F80*;F80;1622673;BCA
000;A13772;"BROSSE METAL 3/6"" PQ5  PACE 1127-0014-P5  ";1A12;19;0;0;0;0;0;0;3;;OUTILLAGE;;A13772*F40*;F40;3120429;BCA
